Carimbo de data/hora,Data Nascimento:,Curso:,Período:,Motivo pela escolha da Fatec (esta questão admite mais de uma resposta):,Motivo da escolha do curso (esta questão admite mais de uma resposta):,Tempo decorrido da conclusão do ensino médio:,Formado em escola:        ,"Você trabalha?  ( A empregabilidade, principalmente se relacionada ao curso, pode motivá-lo(a) para o programa.) ","Se positivo, favor informar: 
Nome da empresa:","Se positivo, favor informar: Cargo ocupado:",O cargo ocupado é compatível com o curso que você acaba de se matricular?,"(a renda pessoal ou familiar pode reduzir a necessidade por outros trabalhos, sem riscos para o seu curso)
Número de salários-mínimos que recebe:",Espaço para suas considerações 
3/12/2025,12/4/1995,Gestão Empresarial,Diurno,"Pela qualidade da Instituição, Por orientação familiar",Pelo nome do curso,12,Particular,Não,,,Não,2 salários mínimos,
3/12/2025,12/13/2005,Gestão Empresarial,Diurno,"Por orientação familiar, Por ser o curso que deseja, Por ser Instituição Pública","Por orientação familiar, Por ter conhecimento e afinidade com a carreira",2 anos,Pública,Sim,RS Marketing ,Sou dono,Sim,5 salários mínimos ,
3/12/2025,2/7/2003,Gestão Empresarial,Diurno,Pela qualidade da Instituição,Por ter conhecimento e afinidade com a carreira,5 anos,Pública,Não,,,Não,2 salários mínimos,
3/12/2025,6/11/2006,Gestão Empresarial,Diurno,Por ter amigos na escola,Por informações de alunos da Fatec,1 anos,Pública,Sim,,,Sim,,Legal
3/12/2025,4/25/1997,Gestão Empresarial,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora","Por orientação familiar, Por ter conhecimento e afinidade com a carreira",10,Pública,Sim,GRUPO MENDES,Operador,Não,1 salário mínimo,
3/12/2025,11/26/1987,Gestão Empresarial,Diurno,Por ser o curso que deseja,Por ter conhecimento e afinidade com a carreira,6 anos,Pública,Não,,,Não,2 salários mínimos,
3/12/2025,8/12/2005,Gestão Empresarial,Diurno,Pela qualidade da Instituição,Por orientação familiar,2 anos,Pública,Não,,,,,
3/12/2025,1/10/1982,Gestão Empresarial,Diurno,"Pela qualidade da Instituição, Por ser Instituição Pública","Por ter conhecimento e afinidade com a carreira, Por informações de alunos da Fatec",1999,Pública,Sim,Citrosuco Agroindústria ,Operador de Produção ll,Não,3 salários mínimos,
3/12/2025,2/1/1999,Gestão Empresarial,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja","Pelo nome do curso, Devido ao menor tempo de curso",9 anos,Pública,Sim,Hospital do vicentino,Estagiária - setor administrativo ,Sim,1 salário mínimo,
3/12/2025,7/18/1986,Gestão Empresarial,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública","Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",21 anos,Pública,Sim,Ornelas Assistente virtual e assessoria de negócios ,Ceo,Sim,2 salários mínimos,
3/12/2025,7/4/2006,Gestão Empresarial,Diurno,Por ter amigos na escola,Por orientação familiar,1 anos,Particular,Não,,,,,
3/12/2025,8/22/2006,Logística,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser Instituição Pública",Por orientação familiar,Acabou de se formar,Pública,Não,,,Não,3 salários mínimos,
3/12/2025,5/22/2006,Logística,Diurno,Por ser Instituição Pública,Por ter conhecimento e afinidade com a carreira,1 anos,Particular,Não,,,Não,3 salários mínimos,
3/12/2025,2/5/2007,Logística,Diurno,Por ser Instituição Pública,Devido ao menor tempo de curso,Acabou de se formar,Pública,Sim,Superpark diversoes ,Auxiliar administrativo ,Não,1 salário mínimo,
3/12/2025,9/19/2003,Logística,Diurno,Por ser Instituição Pública,"Por orientação familiar, Por ter conhecimento e afinidade com a carreira",3 anos,Pública,Não,,,,1 salário mínimo,
3/12/2025,11/14/2001,Logística,Diurno,"Pela qualidade da Instituição, Por ser Instituição Pública",Por ter conhecimento e afinidade com a carreira,5 anos,Pública,Não,,,,,
3/12/2025,3/29/2007,Logística,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Pela Instituição ficar perto de onde você mora","Por orientação familiar, Por ter conhecimento e afinidade com a carreira",Acabou de se formar,Pública,Não,,,Não,,
3/12/2025,1/27/2007,Logística,Diurno,"Pela qualidade da Instituição, Por ser Instituição Pública","Pelo nome do curso, Devido ao menor tempo de curso",Acabou de se formar,Pública,Não,,,,2 salários mínimos,
3/12/2025,2/18/2007,Logística,Diurno,Por ser Instituição Pública,Por ter conhecimento e afinidade com a carreira,Acabou de se formar,Pública,Não,,,,4 salários mínimos,
3/12/2025,1/17/2000,Logística,Diurno,Pela qualidade da Instituição,Por orientação da empresa que trabalha,8,Pública,Sim,Souza Lima Terceirização ,Controlador de acesso ,Não,1 salário mínimo,
3/12/2025,6/27/2025,Logística,Diurno,Por ser Instituição Pública,Por orientação familiar,1 anos,Particular,Não,,,,4 salários mínimos,boa instituição 
3/12/2025,3/14/2004,Logística,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser Instituição Pública","Pelo nome do curso, Por orientação familiar",4 anos,Pública,Não,,,,2 salários mínimos,
3/12/2025,5/13/2006,Logística,Diurno,Por ser Instituição Pública,"Por ter conhecimento e afinidade com a carreira, Devido ao menor tempo de curso",3 anos,Pública,Sim,Hotel Sheraton,Estagiário em Recepção,Não,11 salários mínimos,Não tenho considerações
3/12/2025,12/30/2004,Logística,Diurno,"Pela qualidade da Instituição, Por ser Instituição Pública, Por ter amigos na escola",Por informações de alunos da Fatec,3 anos,Pública,Sim,Quitanda Bom Gosto ,Atendente ,Não,2 salários mínimos,"Meu único porém, é em relação ao fato de eu morar em outra cidade. Em Peruíbe com divisa em Itariri, que pode acabar me desmotivando devido ao cansaço de acordar às 3:30 pra me arrumar e vim pra cá de segunda a sexta. "
3/12/2025,3/7/2003,Logística,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser o curso que deseja","Por orientação familiar, Por ter conhecimento e afinidade com a carreira",4 anos,Particular,Não,,,,3 salários mínimos,
3/12/2025,6/30/2005,Logística,Diurno,Por ser o curso que deseja,Por trabalhar na área,1 anos,Pública,Sim,Santos Brasil ,Aprendiz armazém ,Sim,2 salários mínimos,
3/12/2025,9/13/2006,Logística,Diurno,"Por orientação familiar, Por ser o curso que deseja",Por informações de alunos da Fatec,Acabou de se formar,Pública,Não,,,,4 salários mínimos,
3/12/2025,5/24/2006,Logística,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Pela Instituição ficar perto de onde você mora",Por orientação familiar,Acabou de se formar,Pública,Não,,,Não,2 salários mínimos,
3/12/2025,1/8/2002,Logística,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública",Por ter conhecimento e afinidade com a carreira,5 anos ,Pública,Não,-,-,Não,1 salário mínimo,"  Bom, o que já me fez questionar minha permanência na instituição foi o custo de comoção até a faculdade, gastos com passagem, pois eu moro no Guarujá, e necessito de meios de transporte, não tenho passe livre de barcas ou de ônibus, estou aguardando ser deferida. "
3/12/2025,12/9/2006,Logística,Diurno,Pela qualidade da Instituição,Por orientação familiar,Acabou de se formar,Pública,Sim,Netclicks ,Montadora e operadora ,Não,2 salários mínimos,
3/12/2025,12/19/2005,Logística,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja","Pelo nome do curso, Por ter conhecimento e afinidade com a carreira",2 anos,Pública,Não,,,,1 salário mínimo,
3/12/2025,2/12/2005,Logística,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja","Pelo nome do curso, Devido ao menor tempo de curso",2 anos,Pública,Não,,,,2 salários mínimos,
3/12/2025,8/28/2007,Logística,Vespertino,"Pela qualidade da Instituição, Por orientação familiar",Por trabalhar na área,Acabou de se formar,Particular,Não,,,Sim,,Curso bom e professores ótimos 
3/12/2025,3/7/2007,Logística,Diurno,"Por orientação familiar, Por ser Instituição Pública",Por orientação familiar,Acabou de se formar,Pública,Não,,,,6,.
3/12/2025,10/12/1992,Gestão Portuária,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora","Pelo nome do curso, Por orientação familiar, Devido ao menor tempo de curso",12 anos ,Pública,Sim,RESIDENCIAL TROPICAL FOREST ,Aux.cons.Edificio.( Portaria ),Não,2 salários mínimos,"Por estar a muito tempo longe da escola  , estou tentando me adaptar e adequar meu tempo aos estudos. "
3/12/2025,3/25/1994,Logística,Diurno,Por orientação familiar,Por orientação da empresa que trabalha,12 anos ,Pública,Não,,,,3 salários mínimos,
3/12/2025,7/13/1990,Logística,Diurno,Por ser o curso que deseja,Por ter conhecimento e afinidade com a carreira,3 anos,Pública,Sim,Ecoporto ,Estivador,Sim,6,Boa escola 
3/12/2025,10/19/2006,Logística,Diurno,Pela qualidade da Instituição,Por orientação familiar,Acabou de se formar,Pública,Não,,,,,
3/12/2025,9/20/2004,Logística,Diurno,Por ser Instituição Pública,Por orientação familiar,2 anos,Pública,Não,,,Não,3 salários mínimos,
3/12/2025,4/22/2000,Logística,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser o curso que deseja, Por ser Instituição Pública","Pelo nome do curso, Por ter conhecimento e afinidade com a carreira, Por informações de alunos da Fatec",,Pública,Não,,,,2 salários mínimos,
3/12/2025,4/2/2007,Logística,Diurno,"Pela qualidade da Instituição, Por orientação familiar, Por ser Instituição Pública",Por orientação familiar,Acabou de se formar,Pública,Não,Não trabalho,Não trabalho,Não,"Nenhum, não trabalho",
3/12/2025,8/25/2003,Gestão de RH,Noturno,Por ser Instituição Pública,Por ter conhecimento e afinidade com a carreira,3 anos,Pública,Sim,Unicaserv,Assistente Administrativo ,Não,4 salários mínimos,
3/12/2025,2/15/2005,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por orientação familiar, Por ser o curso que deseja, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora","Pelo nome do curso, Por orientação familiar",4 anos,Pública,Sim,TERRACOM LTDA,Varredora ,Não,1 salário mínimo,
3/12/2025,7/10/2001,Gestão de RH,Noturno,Pela qualidade da Instituição,Pelo nome do curso,3 anos,Pública,Sim,MSC,Assistente de documentação,Sim,1 salário mínimo,
3/12/2025,3/4/2007,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública","Por ter conhecimento e afinidade com a carreira, Devido ao menor tempo de curso",Acabou de se formar,Particular,Não,,,,"Não recebo nenhum, minha mãe recebe um e meu pai recebe pouco acima de um.",
3/12/2025,8/7/2006,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por orientação familiar",Por orientação familiar,Acabou de se formar,Pública,Não,,,Não,2 salários mínimos,
3/12/2025,3/27/2025,Gestão de RH,Noturno,Por ser Instituição Pública,Pelo nome do curso,Acabou de se formar,Pública,Sim,AFIL,Jovem Aprendiz - Auxiliar de Escritório ,Não,1 salário mínimo,
3/12/2025,11/15/1998,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública","Pelo nome do curso, Por ter conhecimento e afinidade com a carreira",8 anos,Particular,Sim,Sou autônoma ,Tradutora ,Não,5 salários-mínimos ,
3/12/2025,12/10/2003,Gestão de RH,Diurno,Por ser Instituição Pública,Por ter conhecimento e afinidade com a carreira,3 anos,Particular,Sim,instituto visão do bem ,auxiliar administrativo ,Não,3 salários mínimos,
3/12/2025,5/2/2004,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora","Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",2 anos,Pública,Sim,TEC,Aprendiz de RH,Sim,1 salário mínimo,
3/12/2025,5/27/2004,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública",Por ter conhecimento e afinidade com a carreira,2 anos,Pública,Não,,,,,
3/12/2025,8/30/2005,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública","Pelo nome do curso, Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",1 anos,Pública,Sim,Pernambucanas ,Jovem aprendiz ,Não,2 salários mínimos,
3/12/2025,5/31/2007,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública",,Acabou de se formar,Pública,Não,,,,,
3/12/2025,5/31/1997,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja",Por ter conhecimento e afinidade com a carreira,10 anos ,Pública,Não,,,Não,4 salários mínimos,
3/12/2025,5/16/1991,Gestão de RH,Noturno,Por ser Instituição Pública,Por ter conhecimento e afinidade com a carreira,3 anos,Pública,Sim,Pro Ativa,Assistente Administrativo ,Sim,2 salários mínimos,
3/12/2025,8/27/2004,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública","Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",3 anos,Pública,Sim,Desktop ,Aprendiz de Recursos Humanos ,Sim,2 salários mínimos,
3/12/2025,9/4/2006,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública","Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",Acabou de se formar,Pública,Não,,,,1 salário mínimo,
3/12/2025,3/6/2005,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja",Por ter conhecimento e afinidade com a carreira,3 anos,Pública,Não,,,Não,2 salários mínimos,
3/12/2025,6/14/2007,Gestão de RH,Noturno,Por ser Instituição Pública,"Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",Acabou de se formar,Particular,Não,,,,3 salários mínimos,
3/12/2025,5/30/1981,Gestão de RH,Noturno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública",Por ter conhecimento e afinidade com a carreira,2003,Particular,Não,,,,2 salários mínimos,
